Placa de Video MSI GeForce 3070 TI Gaming X Trio, 8GB, GDDR6X, 256-bits, 912-V505-009;4,999.16;5,680.86
Placa de Video MSI GeForce RTX 3070 Ti Suprim X, 8GB, GDDR6X, 256-bit, 912-V505-008;5,499.90;6,249.89
Placa de Video MSI GeForce GTX 1660 Super Ventus XS OC, 6GB, GDDR6, 192-bit, 912-V375-644;1,599.05;1,817.10
Placa de Video Asus GeForce RTX 3060 TI V2 Mini OC Edition, 8GB, GDDR6, 256-bit, DUAL-RTX3060TI-O8G-MINI-V2;3,299.98;3,749.98
Placa de Video Asus GeForce GTX 1630 Phoenix, 4GB, GDDR6, 64-bit, PH-GTX1630-4G;1,299.99;1,477.26
Placa de Video PowerColor Radeon RX 6650 XT Hellhound Spectral Edition OC, 8GB, GDDR6, 128-bit, AXRX-6650XT-8GBD6-3DHLV2/OC;3,199.10;3,635.34
Placa de Video Afox GeForce GT220, 1GB, DDR3, 128-Bit, AF220-1024D3L2;195.90;222.61
Placa de Video PNY Quadro RTX A4000, 16GB, GDDR6, 256-bit, VCNRTXA4000-PB-NAC;8,369.00;9,510.23
Placa de Video Mancer GTX 1650 Amorth Z, 4GB, GDDR6, 128-bit, MCR-1650AMT-Z1;1,249.00;1,419.32
Placa de Video MSI Radeon RX 6400 Aero ITX, 4GB, GDDR6, 64-bit, 912-V508-006;1,199.04;1,362.54
Placa de Video MSI GeForce RTX 3090 Ventus 3X, 24GB, GDDR6X, 384-bit, 912-V388-019;10,699.99;12,159.08
Placa de Video MSI GeForce RTX 3060 Ti Ventus 2X OCV1, LHR, 8GB, GDDR6, 256-bit, 912-V397-233;3,969.99;4,511.35
Placa de Video MSI GeForce RTX 3060 Gaming X, 12GB, GDDR6, 192-bit, 912-V397-633;3,199.99;3,636.35
Placa de Video MSI GeForce GTX 1650 Ventus XS OCV1, 4GB, GDDR5, 128-bit, 912-V809-3466;1,379.99;1,568.17
Placa de Video MSI GeForce RTX 3070 Ventus 2X OC, LHR, 8GB, GDDR6, 256-bit, 912-V390-280;3,899.12;4,430.82
Placa de Video ASRock Radeon RX 6500 XT Challenger ITX OC, 4GB, GDDR6, 64-Bit, 90-GA3BZZ-00UANF;1,399.00;1,589.77
Placa de Video ASRock Radeon RX 6650 XT Challenger D OC, 8GB, GDDR6, 128-bit, 90-GA3RZZ-00UANF;2,799.00;3,180.68
Placa de Video Gigabyte GeForce RTX 3050 Eagle OC, 8GB, GDDR6, 128-bit, GV-N3050EAGLE-OC-8GD;2,259.99;2,568.17
Placa de Video PNY GeForce RTX 3050 XLR8 Epic-X RGB, 8GB, GDDR6, 128-Bit, VCG30508DFXPPB;2,299.90;2,613.52
Placa de Video Asus GeForce RTX 3050 TUF Gaming OC, 8GB, GDDR6, 128-bit, TUF-RTX3050-O8G-GAMING;2,299.99;2,613.62
Placa de Video MSI GeForce RTX 3050 Gaming X, 8GB, GDDR6, 128-bit, 312-V397-463;2,349.99;2,670.44
Placa de Video MSI GeForce RTX 3050 Ventus 2X, 8GB, GDDR6, 128-bit, 912-V397-448;2,499.08;2,839.86
Placa de Video MSI GeForce GTX 1650 D6 Ventus XS, 4GB, GDDR6, 128-bit, 912-V809-3470;1,510.99;1,717.03
Placa de Video Sapphire Radeon RX 6650 XT Pulse, 8GB, GDDR6, 128-bit, 11319-03-20G;2,999.09;3,408.06
Placa de Video Sapphire Radeon RX 6650 XT Nitro+, 8GB, GDDR6, 128-bit, 11319-01-20G;3,729.00;4,237.50
Placa de Video Sapphire Radeon RX 6750 XT Nitro+, 12GB, GDDR6, 192-bit, 11318-01-20G;4,739.00;5,385.23
Placa de Video Sapphire Radeon RX 6950 XT Nitro+ Pure, 16GB, GDDR6, 256-bit, 11317-04-20G;10,499.00;11,930.68
Placa de Video Afox GeForce GT730, 4GB, DDR3, 128-bit, AF730-4096D3L6;499.90;568.07
Placa de Video EVGA GeForce RTX 3070 Ti XC3 Ultra Gaming, LHR, 8GB, GDDR6X, 256-bit, 08G-P5-3785-KL;4,999.16;5,680.86
Placa de Video EVGA GeForce RTX 3070 XC3 Black Gaming, 8GB, GDDR6, 256-bit, 08G-P5-3751-KL;4,299.90;4,886.25
Placa de Video EVGA GeForce RTX 3060 Ti XC Gaming, LHR, 8GB, GDDR6, 256-bit, 08G-P5-3663-KL;3,799.99;4,318.17
Placa de Video EVGA RTX 3050 XC Gaming, 8GB, GDDR6, 128-bit, 08G-P5-3553-KR;2,299.99;2,613.62
Placa de Video MSI GeForce RTX 2060 Ventus GP OC, 6GB, GDDR6, 192-bit, 912-V375-693;1,849.06;2,101.20
Placa de Video MSI GeForce RTX 2060 Ventus GP OC, 6GB, GDDR6, 192-bit, 912-V375-808;1,849.06;2,101.20
Placa de Video MSI GeForce RTX 2060 Ventus GP OC, 6GB, GDDR6, 192-bit, 912-V375-665;1,899.99;2,159.08
